Computational time: 
key, mean, dev, conf
1024,0.0174419,0.0001137685809,0.145852390276
4096,2.4446068,0.0111628002472,0.10210550086
2048,0.3015084,0.000300535255848,0.0222885087683
64,1E-05,1.60777467769E-13,3.59509347182E-07
128,3.415E-05,4.76969600709E-07,0.312309355896
512,0.0012823,1.09091704543E-05,0.190233539062
256,0.00019385,2.8857408061E-06,0.332871426768
MPI time: 
key, mean, dev, conf
1024,0.07746665,0.00136324962039,0.393500793115
4096,0.0222884,0.00330946382969,3.32019619724
2048,0.0142615,0.00130464318877,2.04555681833
64,0.000466466666667,7.23509963073E-06,0.346823808739
128,0.000513777777778,5.5480226708E-06,0.241461510583
512,0.00198735,6.0198235024E-05,0.677320782143
256,0.0006241875,1.4562687767E-05,0.521688751892
