Computational time: 
key, mean, dev, conf
1024,0.0181631,4.00885270381E-05,0.0493531784635
4096,2.58094955,0.0183885029746,0.159313236695
2048,0.30001365,0.000224757041055,0.0167516385411
64,9E-06,1.13686837722E-13,2.82457219214E-07
128,3.8E-05,0.0,0.0
512,0.00158535,8.64450692638E-06,0.121927051562
256,0.00022205,2.17944947132E-07,0.021947296426
MPI time: 
key, mean, dev, conf
1024,0.06519495,0.00246056435549,0.843928734033
4096,0.33229065,0.0263516846981,1.77327163152
2048,0.1001496,0.00415961758098,0.928729387983
64,0.0001687,2.24165117714E-06,0.297124150204
128,0.000250444444444,6.02056660309E-06,0.537540220444
512,0.00266805,8.32895401596E-05,0.698041916799
256,0.000478461538462,5.56815908576E-06,0.260225351976
